nom,prenom,email,date_entree_entreprise,temps_travail_hebdomadaire
Doe,John,johndoe@example.com,2021-01-01,40.5
Smith,Jane,janesmith@example,2020-03-15,35.7
Johnson,Michael,michaeljohnson@example.com,2019-07-10,37.8
Brown,Sarah,sarahbrownexample.com,2022-02-20,38.15
Miller,David,davidmiller@example.com,2021-11-05,40.22
Anderson,Lisa,lisaanderson@example.com,2020-09-30,35.36
Wilson,James,jameswilson@example.com,2018-05-12,37.41
Taylor,Emily,@emilytaylor.com,2022-03-10,38.5
Thomas,Robert,robertthomas@example.com,2019-12-25,40
Jackson,Olivia,oliviajackson@example.com,2020-08-18,35.9
